Date : 2021-08-28 23:54:15
Directory : ./
Total : 164 files,  7870 codes, 938 comments, 900 blanks, all 9708 lines, 10.65% comment rate

Languages
+------------------+------------+------------+------------+------------+------------+--------------+
| language         | files      | code       | comment    | blank      | total      | comment rate |
+------------------+------------+------------+------------+------------+------------+--------------+
| TypeScript React |         44 |      3,262 |        253 |        371 |      3,886 |        7.20% |
| SCSS             |         43 |      2,382 |        169 |        167 |      2,718 |        6.62% |
| JavaScript       |         23 |      1,002 |        138 |        111 |      1,251 |       12.11% |
| TypeScript       |         24 |        559 |        120 |        101 |        780 |       17.67% |
| Markdown         |         12 |        205 |          0 |         63 |        268 |        0.00% |
| JSON             |          9 |        203 |        109 |          2 |        314 |       34.94% |
| CSS              |          1 |        149 |        129 |         76 |        354 |       46.40% |
| HTML             |          4 |         73 |         20 |          1 |         94 |       21.51% |
| XML              |          1 |         15 |          0 |          1 |         16 |        0.00% |
| art              |          1 |         13 |          0 |          5 |         18 |        0.00% |
| Gitignore        |          1 |          5 |          0 |          1 |          6 |        0.00% |
| Ignore           |          1 |          2 |          0 |          1 |          3 |        0.00% |
+------------------+------------+------------+------------+------------+------------+--------------+

Directories
+---------------------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| path                                                          | files      | code       | comment    | blank      | total      | comment rate |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| .                                                             |        164 |      7,870 |        938 |        900 |      9,708 |       10.65% |
| packages                                                      |        159 |      7,832 |        912 |        893 |      9,637 |       10.43% |
| packages\bangumi-ui                                           |         66 |      3,261 |        226 |        389 |      3,876 |        6.48% |
| packages\bangumi                                              |         57 |      3,223 |        423 |        260 |      3,906 |       11.60% |
| packages\bangumi\src                                          |         51 |      3,107 |        416 |        250 |      3,773 |       11.81% |
| packages\bangumi-ui\src                                       |         50 |      2,641 |        118 |        330 |      3,089 |        4.28% |
| packages\bangumi-ui\src\lib                                   |         41 |      2,298 |         79 |        254 |      2,631 |        3.32% |
| packages\bangumi\src\view                                     |         16 |      2,213 |        192 |        132 |      2,537 |        7.98% |
| packages\site                                                 |         36 |      1,348 |        263 |        244 |      1,855 |       16.33% |
| packages\site\src                                             |         13 |        647 |        157 |        133 |        937 |       19.53% |
